Date,Open,High,Low,Close,Adj Close,Volume
2015-10-08,5.772680,5.888714,5.743671,5.772680,4.999392,15202
2015-10-09,5.917722,6.004747,5.743671,6.004747,5.200373,23324
2015-10-12,6.004747,6.004747,5.772680,6.004747,5.200373,9773
2015-10-13,5.801688,5.917722,5.743671,5.888714,5.099884,12106
2015-10-14,5.743671,5.888714,5.714663,5.888714,5.099884,3950
2015-10-15,5.888714,5.946730,5.685654,5.946730,5.150129,19814
2015-10-16,5.830697,6.120781,5.830697,6.120781,5.300864,56266
2015-10-19,6.120781,6.236815,6.033756,6.207806,5.376233,48623
2015-10-20,6.149790,6.294832,6.062764,6.294832,5.451601,28870
2015-10-21,6.294832,6.352849,6.265823,6.323840,5.476722,16160
2015-10-22,5.801688,5.801688,4.902426,4.989452,4.321083,364021
2015-10-23,5.163502,5.453587,5.018460,5.453587,4.723045,40426
2015-10-26,5.221519,5.337553,4.989452,5.163502,4.471818,38216
2015-10-27,4.989452,5.105486,4.902426,4.902426,4.245715,53532
2015-10-28,4.902426,5.076477,4.873418,4.873418,4.220593,18804
2015-10-29,4.902426,5.134494,4.844410,5.047469,4.371329,35879
2015-10-30,4.989452,5.105486,4.873418,5.105486,4.421575,4708
2015-11-02,5.221519,5.221519,4.815401,4.902426,4.245715,32607
2015-11-03,4.902426,4.902426,4.815401,4.902426,4.245715,19153
2015-11-04,4.815401,4.873418,4.699367,4.873418,4.220593,87336
2015-11-05,4.699367,4.989452,4.699367,4.844410,4.195471,21379
2015-11-06,4.699367,4.960443,4.554325,4.757384,4.120102,106927
2015-11-09,4.757384,4.786393,4.641350,4.641350,4.019612,34317
2015-11-10,4.641350,4.699367,4.554325,4.554325,3.944246,74954
2015-11-11,4.554325,4.786393,4.554325,4.728376,4.094980,19583
2015-11-12,4.554325,4.873418,4.554325,4.757384,4.120102,12699
2015-11-13,4.786393,5.511604,4.757384,5.221519,4.522064,244845
2015-11-16,5.453587,5.685654,5.453587,5.511604,4.773290,46596
2015-11-17,5.511604,5.511604,5.279536,5.453587,4.723045,35927
2015-11-18,5.453587,5.453587,5.221519,5.337553,4.622554,15305
2015-11-19,5.337553,5.337553,5.250528,5.250528,4.547187,7242
2015-11-20,5.250528,5.482595,5.221519,5.395570,4.672799,25196
2015-11-23,5.250528,5.482595,5.221519,5.395570,4.672799,25196
2015-11-24,5.482595,5.511604,5.308545,5.424578,4.697921,17215
2015-11-25,5.250528,5.366562,5.163502,5.250528,4.547187,21710
2015-11-26,5.337553,5.453587,5.250528,5.337553,4.622554,23241
2015-11-27,5.337553,5.337553,5.163502,5.163502,4.471818,41281
2015-11-30,5.192511,5.308545,5.192511,5.308545,4.597433,8321
2015-12-01,5.366562,5.395570,5.221519,5.221519,4.522064,6060
2015-12-02,5.163502,5.308545,5.047469,5.250528,4.547187,29753
2015-12-03,5.047469,5.424578,5.047469,5.076477,4.396451,26575
2015-12-04,5.076477,5.453587,5.047469,5.424578,4.697921,44473
2015-12-07,5.656646,5.801688,5.511604,5.540612,4.798413,61378
2015-12-08,5.772680,6.381857,5.569621,6.381857,5.526968,123043
2015-12-09,6.526899,6.729958,5.801688,6.091773,5.275741,150214
2015-12-10,6.178798,6.178798,5.801688,5.888714,5.099884,121450
2015-12-11,5.975739,6.091773,5.801688,5.801688,5.024515,52426
2015-12-14,5.975739,6.091773,5.801688,5.801688,5.024515,52426
2015-12-15,5.946730,6.004747,5.830697,6.004747,5.200373,20490
2015-12-16,6.004747,6.033756,5.772680,5.917722,5.125006,28029
2015-12-17,5.772680,5.946730,5.772680,5.801688,5.024515,9280
2015-12-18,5.743671,6.062764,5.743671,5.946730,5.150129,49599
2015-12-21,6.033756,6.236815,5.801688,6.207806,5.376233,57124
2015-12-22,6.207806,6.207806,5.975739,6.120781,5.300864,42573
2015-12-23,5.975739,6.207806,5.946730,6.149790,5.325987,16977
2015-12-28,5.975739,6.207806,5.946730,6.149790,5.325987,16977
2015-12-29,6.149790,6.265823,5.772680,5.772680,4.999392,96689
2015-12-30,5.801688,6.236815,5.801688,6.091773,5.275741,64581
2016-01-04,6.265823,6.265823,5.946730,6.120781,5.300864,31266
2016-01-05,6.004747,6.178798,6.004747,6.178798,5.351109,11558
2016-01-07,6.323840,6.381857,6.004747,6.178798,5.351109,11027
2016-01-08,6.178798,6.178798,5.975739,5.975739,5.175252,17977
2016-01-11,6.062764,6.497891,6.062764,6.294832,5.451601,85247
2016-01-12,6.323840,6.323840,5.975739,6.149790,5.325987,52932
2016-01-13,5.975739,6.207806,5.830697,5.830697,5.049638,56149
2016-01-14,5.830697,5.946730,5.511604,5.685654,4.924025,86898
2016-01-15,5.685654,5.830697,5.569621,5.743671,4.974269,32986
2016-01-18,5.772680,5.801688,5.511604,5.714663,4.949147,43490
2016-01-19,5.569621,5.772680,5.569621,5.772680,4.999392,3181
2016-01-20,5.540612,5.714663,5.279536,5.569621,4.823536,62085
2016-01-21,5.569621,5.743671,5.424578,5.743671,4.974269,63740
2016-01-22,5.685654,5.685654,5.569621,5.685654,4.924025,26974
2016-01-25,5.801688,5.801688,5.395570,5.540612,4.798413,57683
2016-01-26,5.627638,5.627638,5.424578,5.540612,4.798413,3519
2016-01-27,5.540612,5.540612,5.424578,5.540612,4.798413,2671
2016-01-28,5.540612,5.685654,5.395570,5.685654,4.924025,9700
2016-01-29,5.685654,5.801688,5.540612,5.743671,4.974269,26826
2016-02-01,5.569621,5.627638,5.511604,5.540612,4.798413,14126
